Num,Accurate Mass,Neutral Loss,Formula,Charge,Pos,Neg,Ion source,substructue or compound class
120,"163,030",acetylcysteine,C5H9NO3S,1,+,-,ESI/APCI,N-acetylcysteine conjugate
121,"164,068",Rhamnose,C6H12O5,1,-,+,ESI,Rhamonoside
122,"171,090",C8H13NO3,C8H13NO3,1,-,+,ESI,N-acetyl-L-lysine side chain
123,"172,014",C3H9O6P,C3H9O6P,1,+,-,ESI,Lysophosphatidylglycerols (Lyso-PG)
124,"176,026",CysGly(neg),C5H8N2O3S,1,-,+,ESI/APCI,Gly-cysteinyl
125,"176,032",Anhydroglucuronic-acid,C6H8O6,1,+,+,ESI/APCI,Glucuronides
126,"178,041",CysGly(pos),C5H10N2O3S,1,+,-,ESI/APCI,Gly-cysteinyl
127,"179,079",C6H13NO5,C6H13NO5,1,+,-,ESI,Monogalactosyldiacylglycerols (MGDG)
128,"185,009",C3H8NO6P,C3H8NO6P,1,+,-,ESI,Phosphatidylserines (PS)
129,"189,040",C3H12NO6P,C3H12NO6P,1,+,-,ESI,Phosphatidylglycerols (PG)
130,"194,043",Glucuronic-acid,C6H10O7,1,+,-,ESI/APCI,Glucuronides (benzylic)
131,"197,045",C5H12NO5P,C5H12NO5P,1,-,+,ESI,Lysophosphatidylethanolamines (Lyso-PE)
132,"203,079",Anhydro-N-acetylglucosamine,C8H13NO5,1,+,+,ESI/APCI,Conjugate with N-acetylglucosamine (benzylic)
133,"221,090",N-acetylglucosamine,C8H15NO6,1,+,-,ESI/APCI,Conjugate with N-acetylglucosamine
134,"225,077",C7H16NO5P,C7H16NO5P,1,-,+,ESI,Lysophosphatidylcholines (Lyso-PC)
135,"228,040",C6H13O7P,C6H13O7P,1,-,+,ESI,Lysophosphatidylglycerols (Lyso-PG)
136,"248,053",AnhydromalonylGlc,C9H12O8,1,+,-,ESI/APCI,Malonylglucuronides
137,"250,062",gamma-GluCys,C8H14N2O5S,1,+,+,ESI/APCI,Conjugate with gamma-GluCys
